hsa-lncRNA481	RP1-91G5.3
hsa-lncRNA12580-2	RP11-553E24.3
hsa-lncRNA8888-8	LINC00964
hsa-lncRNA2456-2	RP11-452B18.2
hsa-lncRNA18643-3	RP11-402G3.5
hsa-lncRNA1027-15	RP11-168P8.3
hsa-lncRNA13112-6	CTD-2319I12.1
hsa-lncRNA5546	CITF22-24E5.1
hsa-lncRNA13515-14	LINC00662
hsa-lncRNA14974-9	CTA-407F11.8
hsa-lncRNA9614-1	TTTY15
hsa-lncRNA13751-2	AC097724.3
hsa-lncRNA14288-4	LINC01116
hsa-lncRNA5610-2	AC090044.2
hsa-lncRNA9906	NEGR1-IT1
hsa-lncRNA17615-1	LINC01005
hsa-lncRNA10290-4	PROX1-AS1
hsa-lncRNA11424-4	RP11-474P2.4
hsa-lncRNA11135	RSF1-IT1
hsa-lncRNA12246-2	CTD-2184C24.2
hsa-lncRNA18817-9	RP11-357C3.3
hsa-lncRNA10068	RP11-417J8.2
hsa-lncRNA18727	RP11-145E17.2
hsa-lncRNA11873-4	LINC01071
hsa-lncRNA3666-1	AC118653.2
hsa-lncRNA1187-1	LINC00263
hsa-lncRNA15798	RP11-340A13.3
hsa-lncRNA1608-3	RP11-736K20.6
hsa-lncRNA17597	RP11-806J6.1
hsa-lncRNA3615	RP11-1018N14.2
hsa-lncRNA6932	CTD-2035E11.3
hsa-lncRNA1999-2	RP11-781A6.1
hsa-lncRNA6722	RP11-386B13.4
hsa-lncRNA11687-3	LINC00939
hsa-lncRNA6856-8	RP11-321E2.3
hsa-lncRNA251-5	RP4-710M16.2
hsa-lncRNA6920-3	RP11-122C5.3
hsa-lncRNA7186-4	CTC-339D2.1
hsa-lncRNA9221-2	LINC00475
hsa-lncRNA9633	FAM41C
hsa-lncRNA4597-1	AC068491.2
hsa-lncRNA1382	RP11-685M7.5
hsa-lncRNA2603-3	RP11-626P14.2
hsa-lncRNA7885-3	RP11-307P5.1
hsa-lncRNA16939	RP3-510O8.4
hsa-lncRNA12591	RP11-343B18.2
hsa-lncRNA10581-2	RP11-309N24.1
hsa-lncRNA4264-2	AC104623.2
